typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20150101","2015","52","2015","826","GBR","United Kingdom","X","Export","616","POL","Poland","0","W00","World","H4","HS","true","1003","Barley","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","10587","false","-1","N/A",,"false","10587","false",,"false",,"23403","23403","0","true","false",
"C","A","20150101","2015","52","2015","826","GBR","United Kingdom","X","Export","642","ROU","Romania","0","W00","World","H4","HS","true","1003","Barley","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","81","false","-1","N/A",,"false","81","false",,"false",,"763","763","0","true","false",
"C","A","20150101","2015","52","2015","826","GBR","United Kingdom","X","Export","724","ESP","Spain","0","W00","World","H4","HS","true","1003","Barley","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","350041685","false","-1","N/A",,"false","350041685","false",,"false",,"65772763","65772763","0","true","false",
"C","A","20150101","2015","52","2015","826","GBR","United Kingdom","X","Export","56","BEL","Belgium","0","W00","World","H4","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3034","false","-1","N/A",,"false","3034","false",,"false",,"5187","5187","0","true","false",
"C","A","20150101","2015","52","2015","826","GBR","United Kingdom","X","Export","203","CZE","Czechia","0","W00","World","H4","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","559","false","-1","N/A",,"false","559","false",,"false",,"5318","5318","0","true","false",
"C","A","20150101","2015","52","2015","826","GBR","United Kingdom","X","Export","251","FRA","France","0","W00","World","H4","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","213115","false","-1","N/A",,"false","213115","false",,"false",,"662218","662218","0","true","false",
"C","A","20150101","2015","52","2015","826","GBR","United Kingdom","X","Export","276","DEU","Germany","0","W00","World","H4","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","52242","false","-1","N/A",,"false","52242","false",,"false",,"119704","119704","0","true","false",
"C","A","20150101","2015","52","2015","826","GBR","United Kingdom","X","Export","348","HUN","Hungary","0","W00","World","H4","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","40","false","-1","N/A",,"false","40","false",,"false",,"164","164","0","true","false",
"C","A","20150101","2015","52","2015","826","GBR","United Kingdom","X","Export","372","IRL","Ireland","0","W00","World","H4","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","122905635","false","-1","N/A",,"false","122905635","false",,"false",,"26190005","26190005","0","true","false",
"C","A","20150101","2015","52","2015","826","GBR","United Kingdom","X","Export","380","ITA","Italy","0","W00","World","H4","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","5660","false","-1","N/A",,"false","5660","false",,"false",,"7218","7218","0","true","false",
